Gene_Symbol,WT56_8am_Female_Aged,WT2_8am_Male_Aged,WT55_12pm_Female_Aged,WT5_12pm_Male_Aged,WT54_4pm_Female_Aged,WT6_4pm_Female_Aged,WT53_8pm_Male_Aged,WT51_12am_Male_Aged,WT42_12am_Female_Aged,WT49_4am_Female_Aged,WT43_4am_Female_Aged
Cln3,2987.93,1864.73,2181.82,2126.37,2211.38,2837.97,2077.42,2500.62,2327.9,2496.58,1267.0
Cln5,1036.0,994.0,886.0,1198.0,903.0,1549.0,817.0,763.0,935.0,1094.0,616.0
Cln6,531.99,414.0,406.98,453.97,408.0,449.0,365.0,337.0,387.0,421.0,238.0
Cln8,4450.0,2543.0,2925.0,3692.0,2798.0,4341.0,2780.0,3032.0,3607.0,3146.0,2006.0
Clnk,4.0,5.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
Clnkos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clns1a,2214.0,1705.0,1883.0,2466.0,1977.0,2477.0,1847.0,1669.0,2064.0,2117.0,1264.0
Clock,1222.0,1387.0,962.0,1197.0,1473.0,1066.0,1054.0,1056.0,1108.0,1258.0,694.0
Clp1,743.0,543.0,506.0,669.0,593.0,725.0,618.0,630.0,642.0,720.0,366.0
Clpb,831.0,714.0,770.0,928.0,854.0,827.0,780.0,759.0,733.0,819.0,460.0
Clpp,1735.0,1477.0,1553.0,1424.0,1773.0,1674.0,1463.0,1458.0,1425.0,1586.0,897.0
Clps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clpsl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clptm1,1621.0,1262.0,904.0,1589.0,899.0,1633.0,757.0,735.0,1147.0,1472.0,484.0
Clptm1l,1658.0,1123.0,1203.0,1585.0,1220.0,1531.0,1229.0,1167.0,1319.0,1467.0,820.0
Clpx,921.0,915.0,783.0,1070.0,1025.99,1137.0,800.0,772.0,819.0,1157.99,559.0
Clrn1,16.0,10.0,11.0,11.0,18.0,5.0,4.0,17.0,16.0,20.0,5.0
Clrn2,2.0,6.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,1.0
Clrn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clspn,203.0,86.0,160.0,177.0,175.0,250.0,157.0,121.0,214.0,144.0,175.0
Clstn1,5453.0,4659.0,5073.0,5685.0,5314.0,5395.0,4781.0,3838.0,4070.0,5149.0,2299.0
Clstn2,368.0,234.0,288.0,394.0,405.0,249.0,344.0,347.0,229.0,308.0,186.0
Clstn3,1917.0,1798.0,1737.0,1706.0,2166.0,1774.0,1684.0,1549.0,1445.0,1912.0,777.0
Clta,10434.0,5652.0,7425.0,9410.0,7134.0,10251.0,6108.0,4654.0,7944.0,8717.0,4869.0
Cltb,1968.0,1732.0,1800.0,2013.0,1838.0,2119.0,1628.0,1278.0,1432.0,1793.0,931.0
Cltc,15262.08,11718.0,12516.0,16759.0,12964.24,19360.0,11233.0,15457.09,15775.17,16484.0,9129.0
Cltrn,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Clu,3677.0,3477.0,3076.0,2957.0,4320.0,3111.0,2821.0,3621.0,3350.0,3987.0,1896.0
Cluap1,886.16,707.74,723.57,930.89,984.85,933.13,802.81,727.21,716.34,918.7,515.39
Cluh,1330.0,1542.0,1096.0,1201.0,1376.0,1243.0,1038.0,948.0,997.0,1115.0,544.0
Clvs1,124.97,194.64,129.13,202.16,199.24,151.91,115.32,244.84,211.55,137.84,126.85
Clvs2,115.42,112.72,138.91,114.6,155.62,92.89,121.0,163.98,107.84,147.87,81.99
Clybl,531.0,371.0,384.0,467.0,499.0,463.0,410.0,330.0,332.0,479.0,245.0
Cma1,19.0,44.0,23.0,22.0,14.0,19.0,25.0,43.0,18.0,4.0,14.0
Cma2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cmah,82.0,27.0,51.0,49.0,60.0,110.0,31.0,57.0,44.0,57.0,37.0
Cmas,1202.0,891.0,1060.0,1100.0,1202.0,998.0,1137.0,736.0,945.0,980.0,525.0
Cmbl,73.0,46.0,67.0,51.0,67.0,48.0,35.0,35.0,58.0,45.0,38.0
Cmc1,713.0,380.0,584.0,611.0,486.0,633.0,515.0,368.0,462.0,510.0,337.0
Cmc2,580.0,356.0,447.0,484.0,459.0,521.0,471.0,364.0,480.0,504.0,350.0
Cmc4,278.73,158.16,233.28,226.12,265.47,256.41,263.96,223.7,226.78,258.88,146.73
Cmip,1947.0,1926.0,1960.0,2082.0,2001.0,1882.0,1602.0,1279.0,1563.0,1867.0,847.0
Cmklr1,713.0,1291.0,517.0,952.0,650.0,1239.0,610.0,715.0,931.0,877.0,511.0
Cmpk1,2381.0,1988.0,1985.0,2570.0,2049.0,2930.0,1992.0,1676.0,2038.0,2053.0,1349.0
Cmpk2,483.0,342.0,218.0,493.0,327.0,616.0,254.0,255.0,357.0,312.0,222.0
Cmss1,266.0,193.0,215.0,313.0,242.0,307.0,233.0,179.0,207.0,254.0,153.0
Cmtm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cmtm2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cmtm2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cmtm3,3464.0,1843.0,2736.0,3344.0,2363.0,3417.0,2320.0,2557.0,2758.0,3068.0,1620.0
Cmtm4,584.0,456.0,585.0,778.0,463.0,584.0,583.0,563.0,628.0,668.0,317.0
Cmtm5,578.0,315.0,390.0,342.0,678.0,380.0,462.0,378.0,381.0,475.0,271.0
Cmtm6,15033.0,10425.0,13685.0,19043.0,10256.0,17545.0,10875.0,11862.0,12407.0,13317.0,6860.0
Cmtm7,2974.79,1741.9,2427.75,2852.0,1999.59,2850.04,1746.82,1782.0,2254.92,2483.2,1367.8
Cmtm8,299.0,164.0,221.0,320.0,174.0,293.0,126.0,164.0,209.0,256.0,105.0
Cmtr1,2378.46,2265.37,1750.18,2212.2,2256.42,2865.85,1614.4,2310.0,2195.94,2298.77,1185.2
Cmtr2,227.0,160.0,179.0,184.0,121.0,294.0,180.0,198.0,179.0,193.0,136.0
Cmya5,140.6,111.0,104.69,158.0,97.53,124.51,106.7,120.13,135.04,95.0,71.0
Cnbd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cnbd2,2314.02,937.32,1048.1,1703.79,1018.49,1557.85,614.35,1719.91,1904.03,1386.03,771.37
Cnbp,19878.0,14723.0,15970.0,21977.0,16946.0,21141.0,15464.0,15293.0,17686.0,17309.0,11774.0
Cndp1,9.0,37.0,10.0,5.0,27.0,16.0,13.0,18.0,3.0,7.0,1.0
Cndp2,8997.0,7754.0,6792.0,8931.0,7236.0,10305.0,6448.0,6421.0,7646.0,7970.0,4054.0
Cnep1r1,1251.0,888.0,1074.0,1109.0,1178.0,1242.0,1055.0,1116.0,1217.0,1237.0,661.0
Cnfn,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cnga1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cnga2,9.0,25.0,22.0,8.0,26.0,28.0,23.0,26.0,21.0,28.0,9.0
Cnga3,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cnga4,42.0,10.0,16.0,17.0,17.0,28.0,15.0,17.0,13.0,12.0,16.0
Cngb1,1.0,0.0,3.0,3.0,1.0,2.0,3.0,6.0,3.0,2.0,4.0
Cngb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cnih1,2307.92,1287.99,1847.84,2038.8,1813.9,2236.0,1948.97,1755.0,1937.94,2329.93,1385.82
Cnih2,215.0,195.0,171.0,153.0,227.0,157.0,148.0,129.0,123.0,183.0,78.0
Cnih3,399.0,341.0,374.0,427.0,480.0,405.0,396.0,365.0,307.0,438.0,191.0
Cnih4,1945.0,1292.0,1766.0,1763.0,1633.0,2001.0,1643.0,1664.0,1883.0,1739.0,1114.0
Cnksr1,10.0,2.0,1.0,2.0,6.0,0.0,3.0,4.0,1.0,0.0,3.0
Cnksr2,1193.0,1250.0,1001.0,878.0,1364.0,1000.0,1016.0,1003.0,901.0,1239.0,675.0
