ID,Phase,Error,Magnitude,ProjectionX,ProjectionY,Circular_Error,Modified_Error,Out_of_Plane_Reconstruction_Error,Input_Magnitude,Model_Output_Magnitude,Modified_Model_Output_Magnitude,Phases_AG,Phases_MA
WT55_6am_Male_batch1,3.7695990244494837,0.3131914734840393,3.166288137435913,-2.562161922454834,-1.860297679901123,2.346402168273926,5.481274127960205,7.842031002044678,2.4613101482391357,1.7547311782836914,6.494484901428223,0.6220514389456717,0.6220514389456717
WT175_6am_Female_batch2,0.27433082461357117,0.022650420665740967,2.0843677520751953,2.0064263343811035,0.5646611452102661,0.5879266858100891,4.501063823699951,4.234333515167236,3.948850393295288,4.074491024017334,7.618502616882324,4.117319638781584,4.117319638781584
WT6_8am_Male_batch1,3.978020731602804,2.1237223148345947,0.5104186534881592,-0.34204092621803284,-0.3788604140281677,0.1198449581861496,0.9899209141731262,0.3212791979312897,1.9931700229644775,1.8661234378814697,1.10224187374115,0.4136297317923514,0.4136297317923514
WT176_8am_Female_batch2,3.9461997191058558,5.076624393463135,3.7515416145324707,-2.6012983322143555,-2.7032039165496826,3.7854907512664795,17.184518814086914,10.191984176635742,4.662600994110107,1.8114022016525269,7.177177429199219,0.44545074428929965,0.44545074428929965
WT7_10am_Male_batch1,3.8098624388324183,0.15854181349277496,2.022106647491455,-1.5871411561965942,-1.2529555559158325,0.5223509073257446,2.0841126441955566,1.623788833618164,1.4382065534591675,1.72933030128479,3.842036008834839,0.5817880245627371,0.5817880245627371
WT131_10am_Female_batch2,0.9749606251716614,0.20911620557308197,1.3397732973098755,0.7518817186355591,1.1089032888412476,0.05772295221686363,0.5466921329498291,0.17370764911174774,2.377805471420288,2.427708625793457,3.105512857437134,3.4166898382234945,3.4166898382234945
WT8_12pm_Male_batch1,3.7845986525165003,1.323722004890442,4.229909420013428,-3.385183572769165,-2.5362703800201416,5.216157913208008,13.59402847290039,16.949615478515625,3.4420297145843506,1.7427102327346802,8.747590065002441,0.6070518108786551,0.6070518108786551
WT132_12pm_Female_batch2,1.5847971439361572,0.4518860876560211,1.454750418663025,-0.02036711573600769,1.4546078443527222,0.10339896380901337,2.502739191055298,1.0583339929580688,2.636956214904785,3.5527617931365967,5.301702499389648,2.8068533194589986,2.8068533194589986
WT10_2pm_Male_batch1,3.4305196444140833,0.300525963306427,1.5517581701278687,-1.4874379634857178,-0.4421328902244568,0.1522185206413269,2.4167284965515137,1.064305067062378,1.6757482290267944,2.5633950233459473,4.321785926818848,0.9611308189810721,0.9611308189810721
WT147_2pm_Female_batch2,1.6922982931137085,0.5758699774742126,1.8763912916183472,-0.22742466628551483,1.8625580072402954,0.384030818939209,4.496820449829102,4.595814228057861,4.5022292137146,3.820146083831787,7.490720272064209,2.6993521702814474,2.6993521702814474
WT16_4pm_Male_batch1,3.8828938643084925,0.45121848583221436,3.320521593093872,-2.4491848945617676,-2.2421767711639404,2.6924099922180176,5.061197757720947,7.572081089019775,2.5815577507019043,1.7411081790924072,6.362004280090332,0.5087565990866629,0.5087565990866629
WT148_4pm_Female_batch2,1.218396544456482,0.0631084218621254,2.038820266723633,0.7037011384963989,1.9135288000106812,0.5395737290382385,2.1723244190216064,2.685577392578125,2.8907480239868164,2.671633005142212,5.424592971801758,3.173253918938674,3.173253918938674
WT20_6pm_Male_batch1,3.8966661135302942,0.12031087279319763,3.262286901473999,-2.375666379928589,-2.2357826232910156,2.5589709281921387,5.449382781982422,7.102040767669678,2.341721773147583,1.751782774925232,6.220237731933594,0.4949843498648612,0.4949843498648612
WT24_8pm_Male_batch1,3.8131490389453333,0.6011362671852112,2.8621468544006348,-2.2406437397003174,-1.7808427810668945,1.7337956428527832,4.006058216094971,5.360418319702148,2.420422077178955,1.7282379865646362,5.619916915893555,0.5785014244498221,0.5785014244498221
WT153_8pm_Female_batch2,1.067638874053955,2.0372183322906494,2.9417524337768555,1.4184954166412354,2.577164649963379,1.8852012157440186,3.4228060245513916,6.716125965118408,4.704977989196777,2.463975191116333,6.828645706176758,3.324011589341201,3.324011589341201
