ID,Phase,Error,Magnitude,ProjectionX,ProjectionY,Circular_Error,Modified_Error,Out_of_Plane_Reconstruction_Error,Input_Magnitude,Model_Output_Magnitude,Modified_Model_Output_Magnitude,Phases_AG,Phases_MA
WT55_6am_Male_batch1,0.01577761583030224,0.2744300067424774,6.546294212341309,6.545479774475098,0.10328063368797302,15.380691528320312,45.20505142211914,52.49545669555664,2.900130271911621,2.2251031398773193,12.177046775817871,0.01577761583030224,0.01577761583030224
WT175_6am_Female_batch2,2.0636658668518066,0.016476145014166832,2.988874673843384,-1.41420316696167,2.6331353187561035,1.977811336517334,48.16143798828125,49.891334533691406,4.013443946838379,3.836266040802002,13.822188377380371,2.0636658668518066,2.0636658668518066
WT6_8am_Male_batch1,0.3300226926803589,0.7367240190505981,2.019516706466675,1.9105334281921387,0.6544536352157593,0.5197071433067322,6.61353874206543,3.134026050567627,0.6385691165924072,1.8483283519744873,4.223195552825928,0.3300226926803589,0.3300226926803589
WT176_8am_Female_batch2,3.4544220606433313,0.17504730820655823,5.328795433044434,-5.070171356201172,-1.639946699142456,9.36923599243164,48.04411315917969,53.95691680908203,3.9121131896972656,3.3250491619110107,13.618879318237305,3.4544220606433313,3.4544220606433313
WT7_10am_Male_batch1,0.056774359196424484,0.349625825881958,6.788036346435547,6.777099132537842,0.38517940044403076,16.750680923461914,49.29803466796875,57.9010124206543,2.797752857208252,2.108218193054199,12.55295181274414,0.056774359196424484,0.056774359196424484
WT131_10am_Female_batch2,2.588117837905884,0.37678080797195435,2.0368094444274902,-1.732720136642456,1.0706417560577393,0.5374869108200073,9.447244644165039,6.161891937255859,1.5043359994888306,2.3686153888702393,5.84226655960083,2.588117837905884,2.588117837905884
WT132_12pm_Female_batch2,2.87192440032959,0.25828126072883606,3.456686019897461,-3.331758975982666,0.920901894569397,3.017652988433838,15.258302688598633,16.960609436035156,1.9098138809204102,1.7918531894683838,7.43377685546875,2.87192440032959,2.87192440032959
WT165_12pm_Male_batch2,2.1219253540039062,0.000237606669543311,2.8575596809387207,-1.4963593482971191,2.4344518184661865,1.7252638339996338,41.358280181884766,41.172367095947266,3.685473680496216,3.705458164215088,12.77548885345459,2.1219253540039062,2.1219253540039062
WT10_2pm_Male_batch1,6.261755302791492,0.0068646883592009544,4.465815544128418,4.464790344238281,-0.0956951379776001,6.00593900680542,21.478755950927734,20.74346923828125,2.2631728649139404,2.343278646469116,8.540929794311523,6.261755302791492,6.261755302791492
WT147_2pm_Female_batch2,3.552424494420187,0.07580050826072693,3.588921070098877,-3.290282964706421,-1.4333150386810303,3.3512561321258545,27.850452423095703,25.058982849121094,3.384767532348633,3.743530035018921,10.770953178405762,3.552424494420187,3.552424494420187
WT16_4pm_Male_batch1,0.041596755385398865,0.007532716263085604,4.771099090576172,4.766972064971924,0.19840502738952637,7.110594272613525,24.412506103515625,24.387218475341797,2.081357479095459,2.1497092247009277,8.847715377807617,0.041596755385398865,0.041596755385398865
WT148_4pm_Female_batch2,2.7941410541534424,0.2939981520175934,2.045025110244751,-1.9228215217590332,0.6963369250297546,0.5460387468338013,5.8796067237854,3.7789268493652344,1.1189343929290771,1.8772104978561401,4.525428771972656,2.7941410541534424,2.7941410541534424
WT20_6pm_Male_batch1,0.18008100986480713,0.8024546504020691,1.7793437242507935,1.750570297241211,0.3186969757080078,0.30368831753730774,3.9565038681030273,1.2574338912963867,0.7425432801246643,1.8661417961120605,3.2873892784118652,0.18008100986480713,0.18008100986480713
WT152_6pm_Female_batch2,3.214496437703268,0.6258594989776611,1.8236302137374878,-1.8187861442565918,-0.13283169269561768,0.33918339014053345,3.408675193786621,1.1868540048599243,1.2742269039154053,2.372946262359619,3.78532338142395,3.214496437703268,3.214496437703268
WT24_8pm_Male_batch1,0.03732145577669144,0.010656164027750492,4.578304767608643,4.5751166343688965,0.17082932591438293,6.402132987976074,22.482358932495117,21.92351531982422,2.0267832279205322,2.1617860794067383,8.503046989440918,0.03732145577669144,0.03732145577669144
WT153_8pm_Female_batch2,3.2448468844043177,13.311244010925293,16.683155059814453,-16.594301223754883,-1.7195463180541992,122.98068237304688,305.4519958496094,444.91998291015625,7.329552173614502,2.4811110496520996,32.03921127319336,3.2448468844043177,3.2448468844043177
WT30_10pm_Male_batch1,0.051804061979055405,0.03841269761323929,5.370137691497803,5.36293363571167,0.2780705392360687,9.549051284790039,30.946144104003906,32.91002655029297,2.2668538093566895,2.12156343460083,9.935208320617676,0.051804061979055405,0.051804061979055405
WT168_10pm_Female_batch2,1.7036516666412354,0.43198856711387634,3.4351396560668945,-0.4550352692604065,3.4048683643341064,2.9649527072906494,79.60248565673828,90.8751220703125,5.2122907638549805,4.331758499145508,17.813169479370117,1.7036516666412354,1.7036516666412354
WT32_12am_Male_batch1,0.10064619779586792,0.16515663266181946,3.522066593170166,3.5042428970336914,0.3538844585418701,3.180410146713257,13.946493148803711,11.467392921447754,1.4278936386108398,2.0014584064483643,6.5173563957214355,0.10064619779586792,0.10064619779586792
WT178_12am_Female_batch2,3.042001485824585,0.5204637050628662,1.6062721014022827,-1.5983128547668457,0.1597062051296234,0.1837829351425171,2.2935595512390137,0.6959353685379028,0.9120132327079773,1.8994723558425903,2.933077812194824,3.042001485824585,3.042001485824585
WT37_2am_Male_batch1,0.12173138558864594,0.07933632284402847,4.171576976776123,4.140707015991211,0.5065586566925049,5.029450416564941,19.916717529296875,18.682409286499023,1.6076629161834717,1.9577993154525757,7.780187606811523,0.12173138558864594,0.12173138558864594
