MetricName,Eigengene1,Eigengene2
Phase,-0.9185067,0.16428776
Error,-0.44562718,0.13221522
Magnitude,0.570145,0.029216416
ProjectionX,-0.29064173,0.956832
ProjectionY,0.9933369,0.11524619
Circular_Error,0.60367805,0.07071858
Modified_Error,0.38682,0.3122096
Out_of_Plane_Reconstruction_Error,0.20033664,0.2621453
Input_Magnitude,-0.4382596,0.34849554
Model_Output_Magnitude,-0.6702896,0.5683504
Modified_Model_Output_Magnitude,0.14745443,0.24362096
