ID,Phase,Error,Magnitude,ProjectionX,ProjectionY,Circular_Error,Modified_Error,Out_of_Plane_Reconstruction_Error,Input_Magnitude,Model_Output_Magnitude,Modified_Model_Output_Magnitude,Phases_AG,Phases_MA
WT64_8am_Male_Aged,3.6362131277667444,4.26209135184763e-6,7.466952323913574,-6.572030067443848,-3.5445451736450195,20.910737991333008,234.4282989501953,234.4251251220703,8.250229835510254,8.250137329101562,42.18878936767578,5.49249850962768,5.49249850962768
WT130_8am_Female_Aged,0.9514233469963074,0.657849907875061,5.964563846588135,3.4625768661499023,4.856602191925049,12.323447227478027,185.34548950195312,194.0396270751953,4.582789421081543,3.2449114322662354,34.14226150512695,1.8941029832185312,1.8941029832185312
WT128_12pm_Female_Aged,1.4970974922180176,1.3765842914581299,5.383855819702148,0.396424800157547,5.369241237640381,9.60909652709961,185.31106567382812,185.7506103515625,5.025760173797607,3.7368717193603516,34.06460952758789,1.348428837996821,1.348428837996821
WT65_12pm_Female_Aged,0.3776851296424866,15.470535278320312,0.29145991802215576,0.2709180414676666,0.10748159885406494,0.2510145306587219,16.516399383544922,2.587104320526123,8.988585472106934,3.956282138824463,2.8625223636627197,2.467841200572352,2.467841200572352
WT126_4pm_Female_Aged,6.117332939301626,3.6797261238098145,4.718506813049316,4.653759479522705,-0.778992772102356,6.913646697998047,57.790260314941406,64.61903381347656,8.415637016296387,6.151317119598389,23.270984649658203,3.011378698092799,3.011378698092799
WT78_4pm_Female_Aged,2.263293981552124,2.304175853729248,3.291942834854126,-2.101778745651245,2.533656120300293,2.6265006065368652,43.05546951293945,40.283695220947266,5.4398417472839355,4.341381072998047,17.955049514770508,0.5822323486627146,0.5822323486627146
WT86_8pm_Female_Aged,2.232062816619873,9.24236011505127,1.458437204360962,-0.8956507444381714,1.1510207653045654,0.10508233308792114,11.618303298950195,1.644789695739746,6.942739963531494,4.31008768081665,6.889368534088135,0.6134635135949655,0.6134635135949655
WT120_12am_Male_Aged,1.0308784246444702,2.2232701778411865,3.8630897998809814,1.9858813285827637,3.313568592071533,4.098641395568848,80.25474548339844,67.68157958984375,3.809887647628784,3.2882893085479736,21.498781204223633,1.8146479055703684,1.8146479055703684
WT89_12am_Female_Aged,0.7530156373977661,2.6493594646453857,3.0990006923675537,2.2611238956451416,2.119227409362793,2.202902317047119,37.04403305053711,30.18902587890625,3.3826544284820557,3.2598178386688232,15.14154052734375,2.0925106928170725,2.0925106928170725
WT125_4am_Female_Aged,0.6563525795936584,20.50094985961914,2.718395709991455,2.153576374053955,1.6588501930236816,1.4764418601989746,48.365447998046875,18.777957916259766,9.165799140930176,3.3505072593688965,12.543150901794434,2.18917375062118,2.18917375062118
WT101_4am_Male_Aged,2.45566725730896,7.972979545593262,4.525054931640625,-3.5016376972198486,2.866122245788574,6.213006019592285,108.9813461303711,82.93036651611328,6.803884029388428,4.587090492248535,24.144411087036133,0.3898590729058786,0.3898590729058786
